,reviews_title,reviews_text,ratings,author,stay_date
13,Terrific hotel right off Times Square -- our New York home!,"The Hotel Edison has been our base when visiting New York for theater visits for some 20 years.  We were FINALLY able to return after two years away this past Thanksgiving weekend -- theater is back, and so is New York!It was like returning home.  Many of the longtime staff who make the place are still here, and as has long been true, the room was immaculate, spacious by New York standards (spend the extra money to get a Signature room), and very well appointed.  Of special note, Rommel Gopez, the Guest Relations Manager, always does an outstanding job of making sure that everything is right.  He is a terrific asset for the Edison; if you have any needs or issues, ask him and he will make it right.We were delighted to be back, and hope to be back in April.  It will remain our New York home!",5,Douglas D,Nov-21
14,Perfect location near Times Square,We have been staying at this hotel for decades and it has greatly improved the facility over that time. The rooms are very well appointed and the staff is wonderful. Rommel Gopez always goes the extra step to make our trip memorable. The fitness room has taken out some equipment in order to do more distancing during the pandemic. Highly recommend this hotel.,5,Brett O,Nov-21
15,Thanksgiving week in NYC!,"Staying at the Hotel Edison is like a trip back home. Located a block off Times Square, in the heart of the Theater district, it's easy walk to many events.It is a busy time to be back in the city, but the Edison is braced for any event. Always with a gracious staff, this luxury hotel harkens back to an earlier time and has kept its flair of Art Deco charm. The newly restored rooms are comfortable, cozy and delightful. The main salon is a great place to meet, flanked by two restaurants with great servers to keep you fed and the Rum Bar, to keep you entertained. There is a luggage check and valet service, or the handsome doormen will hail a cab for you.I never stay anywhere else.The Edison is my place to stay in NYC!",5,Nan,Nov-21
16,Birthday Weekend,Excellent stay at The Edison. No issues with checking in or checking out. Room was clean and breakfast was delish at Bond 54!  Excellent customer service from all those who we interacted with. You are in the heart of Time Square so you can’t go wrong with The Edison.,5,jmcdaniel69,Nov-21
17,Family of 5 granddaughters trip,Right in Times Square within walking distance of everything. We had a two bedroom suite with one king and 2 queen size beds.  Lots of space for a family of 5….4 teenage ladies and senior.  Rooms were clean with good amenities. Great value,5,Elaine D,Nov-21
18,Fab hotel will definitely use again,"2nd time we have stayed last time 10 yrs ago . Fab location and excellent hotel . 2 min from time square . All staff so helpful and security excellent you are checked you are staying in hotel before you get to the lifts . Rooms are spotless and cleaned with fresh towels every day . Yes our bath room needed  updated but perfectly clean . We had breakfast each day excellent choices . Used concierge to book hotel airport shuttle, Woodbury common, hop on hop off bus , so helpful. Rum house bar was our night cap excellent live music",5,Suzanne M,Nov-21
19,Guest,"There are a few things lacking due to the age of the structure and the location of the hotel. But that is also it’s strong point, being a stones throw from Times Sauare, etc.The staff is always striving to be helpful and courteous and this is a strong point. The hotel and our rooms were clean and well kept. The restaurants and bars are a great NYC experience!",4,Norman C,Nov-21
20,My favorite hotel in NYC,This is my favorite hotel in Manhattan.  Great for business or leisure. It is in the absolute best location (located in the middle of Times Square)  with the friendliest staff and very nice rooms. I would highly recommend..,5,Lenny S,Nov-21
21,"Awesome, safe hotel for a couple girls from Louisiana ","Came on a Mother/Daughter trip and had an amazing time.  Hotel was easy to find and so very close to Times Square.  Room was clean, beds were nice and comfy, air/heat made noises at night but, it was ok because we were so tired every night.  Staff was so nice, Marco made sure we were pleased with our room.  I really liked that you have to show your room card to get past the elevator guy.  We felt safe the entire time.  NYPD is on every corner and gladly helped us with directions and which Subway we needed to get on.  We had an amazing time and Hotel Edison was part of it.",5,Danyelle W,Nov-21
22,The best,"Stayed here for a quick wedding and it was everything I needed it to be and more. The staff was beyond friendly, the hotel was clean and incredibly pleasant, and the room was perfect. Special shout-out to Rommel Gopez for his incredible kindness and amazing sense of humor!!",5,Logan M,Nov-21
23,City stay,"Room was small (even though it was the deluxe room) but everything we needed, it was cleaned daily and fresh towels daily which was great, bathroom door was clear so no point in even having one. They took $500 as a deposit on arrival, which they advise you will get back up to a month after your stay. Breakfast was awful, eggs of anytype and an orange or hot drink, if u want anything else you had to pay. We paid $30 one morning for 2x drinks of orange and 2x sets of bacon. Really good location.",4,EnglishTraveller,Nov-21
24,Great customer management,"I would particularly like to highlight the great support from Mrs.Jahai da Escotto, sec. supervisor from the hotel. I lost my laptop bag and she did such a great job - and gave me a perfect support and help me get it back! Thanks to her, it was possible to getthe laptop back in a city as big as new york!",5,Eva F,Nov-21
25,Nice hotel,"I was in Edison Hotel in November 2021. Very good location, about 100m from Times Square. Excellent and professional service by Justina from helpdesk. My favourite hotel in NY. See you next time NY :)",5,Agujka,Nov-21
26,These managers care!,"Hotel managers Scott and Danny treated us like family! Seriously, just imagine being greeted with enthusiasm every time you walk through the hotel lobby. The staff at the Edison really care about their guests. And, breakfast is included either in one of two restaurants on site, or as a “grab and go”.",4,ssd5,Oct-21
27,Slums in Manhattan,"Check in reception was ok, but, all down hill from there, room was tiny, old, wall paper falling off walls, heat would not work, dimly lit with absolutely NO Ammenities in room. Room does not appear to have been updated since it was built in 1931, still probably has same mattress from 1931 too. Mattress was soft and had a big dip in it showing its wear.Tried calling front desk to report, no one would answer the phone,  was on 19th floor could easily hear street noises, sirens all night long. Mattress was old and in need of replacement. They charged $350/night for this dump.They charge an additional fee as deposit of about $350, like someone in their right mind would actually want to steal any of the old crap from the room.Once they get your credit card number, they're done servicing you.",1,Jay B,Nov-21
28,"High volume, Hit or Miss food quality. Poor service!",Charred bacon beyond taste. Cold potatoes. Barely warm eggs. Did not get toast. Server never checked back. Coffee warming not offered. This is a very busy place to eat. It’s difficult to figure out the waiting area as Edison Hotel has access as well as patrons  from 47th St entrance. My breakfast partner’s meal was satisfactory. Floor manager knew what to say and corrected my complaint.,2,Larry T,Nov-21
29,"Excellent location, rooms are comfortable, stylish, and clean","Just got back from a great trip to NYC. Hotel is situated right off Times Square in the theatre district. Several subway lines are just a couple streets (the short blocks) away, and restaurant row is one street and one avenue away.It's a cool old art deco hotel that has been really nicely remodeled. The rooms are clean and stylish, and the elevators are fast - I never had to wait more than 20 seconds, and often there was one waiting when I pushed the button. Plenty of hot water, plenty of water pressure, nice bath towels. Bed and pillows were comfortable. There's security at the door and in the lobby.Really, I could not have asked for a nicer stay. Will definitely stay here again.",5,OB_Dave,Nov-21
30,"Great location, great stay","The hotel was a good price, clean and comfortable.  Staff was attentive and security good. The bathroom was newly updated with plenty of room. The furniture could  use an update. Don't miss Vince Giordano and the Nighthawks who play downstairs at Bond 45  on Mondays and Tuesdays for a trip to the 1920's and 30's.",5,maryiap,Nov-21
31,"Great Hotel, Great Location, Great Price!","My daughter and I were in town for the 15th Anniversary of Spring Awakening concert. I booked this hotel because of its proximity to the theater and because it was a nice hotel for the price. I had stayed there a few years ago. The hotel is even better now! Friendly staff, comfy bed and clean room, and breakfast included in the great price! I have stayed in fancier hotels while in NYC, but paying that extra money seems silly now when I could have stayed here and had basically the same experience. I even love it’s classic hotel feel of the lobby. Can’t wait to come back!",5,msgbwill,Nov-21
32,Appreciation  Staff,"Over the decades,I've stayed at the Edison  on much-loved  ""theater-blitzes"". It was great being able to do so again recently this November, after Covid's restrictions lifted. As a NY hometown girl, I'm used to, and not bothered by NYC staff being brusk -- it's often part of life in this teeming  city.. So when a staff associate is especially helpful, it's noteworthy. My appreciation goes to Mr. Luidin De Los Santos, the Director of the Front Office,  for his polite help in diagnosing and helping me fix my (now foreign) cellphone's problems in accessing WiFi and Cellular. Thank you for adding to my  pleasurable stay at the hotel.",4,janet s,Nov-21
33,Girls trip,"The Hotel Edison is such a great hotel!  We have been staying here for many years.  The staff is so very friendly and helpful. The rooms are always clean and the location is great, especially after Broadway shows, it is walkable distance from most of the theaters!    I would recommend this hotel to anyone!",5,Tina T,Nov-21
34,adequate,"Room was clean and adequate. very small, but included breakfast which was good (nothing fancy). Most of the front desk and staff (5 of 6) who we interacted with were not particularly helpful. My daughter had a clothing issue and needed a safety pin.  Front desk wanted to send it  (a safety pin?) to our room when we were obviously on the way to the theater and acted quite annoyed. So no sewing kit to be had and none to buy in shop. No fridge in room.",3,Erin M,Nov-21
35,Great trip! Will be back!,"I had a great stay at Hotel Edison. The hotel is in a perfect location near Times Square and all the Broadway theatres. I especially appreciated the level of security provided by the hotel. In particular, the hotel staff verified that all people entering the elevators had a room key, which made me feel very safe. The hotel also provided a free breakfast. Thank you, Hotel Edison. I will definitely be back!",5,Katrina,Nov-21
36,Always a top notch experience,I have been staying at the Hotel Edison for almost 20 years on my annual visit to NYC.  I come for two things….Broadway shows and runs in Central Park.   The location is second to none and I have watched the renovations and changes throughout the years and I love that they keep the “old New York” vibe.  The Rum House has still got great live music and Friedman’s is great for a quick bite or a hearty breakfast.    Can’t wait to return in April!,5,island_hopper3700,Nov-21
37,We are so grateful that Hotel Edison was recommended by a friend. We loved the Art Deco flair and art. The convenience f,"We are so grateful that Hotel Edison was recommended by a friend. We loved the Art Deco flair and art. The convenience for attending Broadway shows could not have been better. Yummy breakfast included, too! What fun it was to go on the complimentary neighborhood walking tour offered by Streetwise New York/Triumph Tour with Sonia as our guide. I wish we could have done more of them - so interesting and informative. I highly recommend including this in your stay at The Edison.",5,Liz B,Oct-21
38,Great time!,5/5! This Hotel is in a GREAT location! Staff was professional and friendly! Rooms are clean. There are 3 restaurants/bars located inside the hotel. We will be back!  We stayed  on the 16th floor. The only noise I heard was city noise. But hey —you are staying in a city that never sleeps!,5,Jennifer R,Nov-21
39,Enjoy Hotel Edison,A friend and I recently spent several days at the Hotel Edison. From the "so glad to have you back" check in to the effortless check out our visit was exactly what we needed after a long break from travel! The staff from housekeeping to restaurant workers was friendly and  helpful. Renovations since our last visit make the rooms more up to date while keeping the ambiance of the old Edison alive. The hotel's location is perfect for seeing Broadway shows and subway stations are close by for venturing out.  A wide variety of restaurants and bars are within easy walking distance. We highly recommend the Hotel Edison!,5,Touringandeating,Oct-21
40,Great attention,"Not only does the hotel have a very good location, but it is also comfortable and clean.  But what definitely made my stay pleasant was the attention provided by Justina, who was very attentive every day.  Thanks to her I want to return to that hotel.",5,Robinson,Nov-21
41,very Nice Hotel in Time Square. ,"This is the best place to Stay in Tmes square. They have multiple option of breakfast and we don't need to be in rush to have the breakfast. The Lady on reception desk named yustina is really kind, she explain to us nicely, and relay our order such as microwave and Fridge quickly. Thank you Yustina!",5,cahyo a,Nov-21
42,Great stay!!!,Our visit to Edison hotel was fantastic. The room was beautiful and very clean. We also got breakfast in the morning at the Bond 45 in the lobby and it was delicious. Special thanks to Danny OBrien who made our special night unforgettable.,5,Lily G,Oct-21
43,DANNY MAKES THE DIFFERENCE!!,We stayed in the Edison Hotel for a night to enjoy the city! By the next day we decided to stay another night. But we struggled  a lot at the front desk to keep our previous night rate and room! Also we had a bad experience at breakfast for the lack of service! UNTIL DANNY THE SUPERVISOR SHOWED UP!!  Everything got solved in a minute!! always with a smile and willing to help! He even helped us book some Broadway tickets! That kind of attitude is contagious! His presence there truly MAKES THE DIFFERENCE!! If you stay there make sure to ask for Danny  he will make your day!!,5,BEAT N GREET N,Nov-21
44,Perfect and affordable accommodation in Manhattan,"I stayed in this hotel for 3 nights in early November. It is excellently situated in the heart of Manhattan - at Times Square. The staff of this hotel is helpful as well as reliable and deserves the greatest recognition! All requests for amenities were granted. Special thanks to receptionist Justina for her exceptional kindness and helpfulness. Also, room service was of very good quality.Additional advantage of Hotel Edison is various and decent breakfast (3 venues available) included in price. Lastly, the price of stay is affordable considering such a great location, breakfast included and friendly staff. I will definitely come back to this hotel!",5,Marcin P,Nov-21
45,Great Hotel in Center of Times Square,"The Edison staff was helpful and professional.  Rooms were clean and although I wouldn't call them roomy, they were larger than most Manhattan hotels I have stayed.    Both restaurants -- Bond 45 and Friedman's -- have good food and drink.  Beds were comfortable and the bathroom was great with a very large shower.  Will definitely stay at the Edison when in Manhattan.",5,PasadenaWoman,Nov-21
46,Great place to stay!,"The hotel is central to all theaters in Times Square. The room was clean, the white linens immaculate and there was daily maid service. We enjoyed the hot breakfast daily. The free Streetwise tours were amazing and we learned so much about the area. The staff was very friendly and helpful when we asked questions about transit options and discounted theater tickets. We will return on our next trip to the city.",5,Carolyn R,Nov-21
47,Hotel Edison,"I had a wonderful experience at the (Hotel Edison). Every staff member especially Justina from reception team who was very helpful, hospitable and there for every need of mine. Breakfast was awesome. Thank you so much! Will recommend to my colleagues!",5,DR-Motaz R,Nov-21
48,Hotel Edison is a lucky find in the big city,"Three of us stayed here for 5 nights in adjoining rooms (2 queens, 1 king), and thoroughly enjoyed our visit. Having breakfast available each morning was a bonus--we never ate in the restaurant, but got ""grab and go"" items and coffee each day, which was more than adequate (egg sandwiches, bagel, fruit cup, yogurt parfaits, etc.). The staff at the hotel was so helpful and responsive to my many requests: asked for a refrigerator in the room, needed an extra little table, had problems with wifi, and someone came to my room and worked with my laptop to get it going. As one knows, finding a hotel in NYC is an overwhelming task. I chose this one for its location and the positive reviews, and I was not disappointed. Prior to my stay, Mr. Holder helped me with numerous questions and requests, and this was greatly appreciated and influenced my decision in choosing the Edison. My single complaint was that the front desk was always busy (both checking in and checking out) with an unreasonably long wait. Perhaps one more staff person could ease this congestion.",5,Mary K,Oct-21
49,Great accomodations in the heart of the Theater District & Times Square.,"Comfortable room, vouchers for breakfast. Easy walk to theaters and restaurants and Time Square.Staff friendly and helpful. Will assist with tours and theater tickets and airport transport.We loved the location. Our theater was an easy 5 minutes walk. We had dinner at Bond 45 restaurant right off the hotel lobby. Great Italian food with perfect NY cheesecake!",5,Trish G,Nov-21
50,Great family visit,This is my second time staying at Hotel Edison. The location is great for the theater district and easy to get wherever else you need to go. We had a family suite it was basic but all we needed. Our only issue was no cable or tv. Usually this isn’t an issue if it was just my husband and I but when traveling with kids being able to turn on a show and get an extra hour of sleep is essential. We only stayed one night so it worked out. Also be prepared for a super busy Lobby and elevators! My husband was able to check out The Rum House which he thoroughly enjoyed. Bond 45 was great with the family!,4,RiceMom,Nov-21
51,Trap of a Hotel,"This hotel is a trap.  They sell you a room with breakfast, for what should be “room with ration for breakfast”.  You can have coffe OR juice, no choice of food but for one item.  If you are unlucky and the restaurant is full, they give you a “to go” bag with a choice of a stone cold sandwich and coffe.  Or coffe and the stone cold sandwich.The front desk staff is so aggresive they bark at you for asking questions.Lousy service, cheap treatment.",1,RothenbergM2015,Nov-21
52,Great Guest Service!,"The Hotel Edison was so nice to stay at. Everyone there was so helpful and kind. Justina, at check-in, was the nicest person there. The hotel was also very clean and I felt very comfortable being there in a pandemic.",5,Jessica H,Oct-21
53,I changed my mind,"I was led to believe NYC people were rude. Nothing could have been further from the truth. The staff at the Edison was great. Melissa checked us in (10 of us) and accomplished all of our crazy last minute changes.Keith at the security desk went above and beyond his job. He acquired extra chairs for our suite and was always willing to help.Maid/cleaning service was very flexible and pleasant.Whatever the Edison is doing with employee training and hiring, keep it up. You nailed it!",4,Mary M,Nov-21
54,Security,Keith (From security) Was very kind and helpful. He was always ready to help us with al oír needs. Always satisfecha Good day and Good night very gently.The hotel has a very Good location. And the attention is very Good. It would be Good to have a coffee machine and a friedge at the room.,5,Marina L,Oct-21
55,After a year of Co-vid coming home is sweet,"It had been over a year since we were in NYC and at The Edison.  I worried that the pandemic would have taken its toll with the hotel and the staff.  Happily, when we walked in, (even with our masks on) old friends at the front desk waved and smiled and welcomed us like the old friends.  The lobby shown brightly, our signature room was comfortable.  We felt that the co-vid restrictions were fair, (unvaccinated people were asked to wear masks).  We were checking out late (an options you can avail yourself of for a slight charge), but our housekeeper checked in with us to see if we needed anything in the meantime, so we could get clean towels or more coffee or tea or water.  We very much appreciated her thoughtfulness.  For a large hotel that was filled, I find it amazing that the elevators come quickly, that we weren't squashed so could keep distancing from others (important at this time).  There were lines for breakfast, but they moved fairly fast, and we did pick a popular time to come down, so think about what else you are doing and plan accordingly.  I am personally in love with Friedman's cold brew.  For me, it's worth the price.  I don't know when the hotel opened after the Co-vid shut down, but along with comfortable beds, beautiful bathrooms and the amenities that the hotel puts in the room, the best part of staying here is the staff.  Everyone will make you feel like you have made their day by being there.  You will want to come back again and again.  There is no place like home.",5,April45,Oct-21
56,Convenient Location; Helpful & Friendly Staff,"I take an annual trip to NYC to indulge in Broadway Theatre.  This Edison Hotel is the most conveniently located hotel I've stayed in yet.  The hotel was reasonably priced for a NYC hotel, and although it had come up in searches in the past, this was my first time staying here, but it won't be the last.  The front desk staff, the security staff, the bell desk and the housekeeping staff were very friendly, almost always had a smile on their faces, and were most willing to be helpful and seemed genuinely desirous of being helpful.  This was particularly true on the morning I left the hotel to catch a ridiculously early flight out of LaGuardia.  And again when I got home and discovered that I had overlooked one full drawer of clothing.  Arrangements for shipping that overlooked clothing could not have been more courteous or easier.  Thank you all for a wonderful stay.",5,Larry I,Oct-21
57,Unhappy!,"Other than excellent reception, the room is a dump! Booked a king suite, so tiny, no room to breathe. Bathroom is disgusting, no tub. No separation from shower to the rest of the bathroom. No refrigerator, no amenities. Upholstery ripped on furniture, ""coffee table"" (and I use that term sarcastically) was so wobbly, couldn't put anything on it! Closet door had no paint on bottom of door. Overall, a huge disappointment when taking my daughter and friends for a nice weekend in NYC, would 100% NOT recommend this hotel, you will be disappointed!",1,JHW,Oct-21
58,Good experience,"The Hotel is located 1/2 block away from where you will find all of the fun.JUSTINA is an Agent at the lobby, she didn't need a Manager to take car of me and my wife when we run into minor things and bigger things, she was able to by herself take care of the issues, even changing us from a room where the AC started to malfunction (we are from Texas and like the AC on even in NY is probably not needed now)",3,Sergio Zamora,Oct-21
59,Fine and very concvienient,"Lost & FoundDuty Bound	Deserves a crown.That simple act of doing rightis so expected buy too often … sadly neglected.		 Let me explain! Not one thing can be of more value excepting my sweetheart               or even life.After life the bill fold might come as holding a central role.Just a few years ago my bill fold was lost And yet it couldn’t have been closer.Let me explain through this sad refrain.Gone yes, for three days but then by sheer luck, when sitting on the couch, my left hand fell right on it. Devastated to elated. Even then my vision was 20/20 but the color match was too much, at least for me. So, the preventive answer was to place a bright orange tape on the wallet, a style statement that may solve a 3-day nightmare.  So, the question must be, “What does this have to do with my pleasant stay at the Edison Hotel in New York City”. Could it happen again? Short answer … YES! Let me explain! Even though I grew up in Deer Park, Long Island, New York, I have never had the chance to take in a Broadway Show. So, logically my sweetheart picked the closest hotel, Edison, as it was across the street from the theater showing the marvelous show staring Jennifer Nettles called Waitress.  Too much palaver here so I will cut to the chase. 	As we departed that next day, checked out and awaited the Edison Hotel gentleman to hale the correct taxi, I finally realized my wallet was gone! You do realize that your mind runs wild with all the scenarios that are part of this kind of event. I knew that I didn’t leave it in the room as you naturally do a visual look-about to prevent such a misfortunate event. Well, allowing time for panic to set in, I went the Edison Hotel greeter explaining my sad situation, who called for hotel security to bring me back to my room for a deep search. I went into the room first and made the cursory visual check concentrating on the brown carpeted floors. Nope, it was definitely gone. Grife floods one’s sole. 	Hotel Security did his look about but then he pulled out the smallest flashlight no bigger that a pinkly finger. He must have seen something that needed a closer check. “I see it”, he exclaimed as he reached down toward the skirt that surrounds the king-size bed. Now the ying-yang of despair to joy floods one’s sole. But, due to a very low lighting scene, I never saw where it lay. My cell phone attached to my belt helped minimize the empty wallet feel as it has done before which usually means it was left in the house. No big problem but still a pain. The hard lesson was to place a bright orange tape across the wallet. Well, the next wallet didn’t come with tape attached so none was applied. A lesson Lost!A hug was given, as a tip was never even considered. How can one even reward a service rendered of such a value? He deserves far more for doing his very best and no one can ask more of those hard-working public servants that make a stay at Edison so very fine. He deserves to be named as he made a crisis in formation become another lesson hopefully learned. I realized how very important he became to me.  His name is Security Franis and just by doing his job, he made my life a joy to continue and share. What more can I say or do! Yes, I at 76, hope to return with my sweetheart to the Edison Hotel to attend theater shows at the Barrymore or more! Thank you, Francis and thanks goes to the Edison Hotel. And yes, my wallet now sports a white tape along the brown leather, for visual effect … ‘ya’ know!Robert Concord, NH10/29/21",5,Robert B,Oct-21
60,Great Stay at the Hotel Edison,"Our first trip to NYC in many years. We chose the Hotel Edison because of its proximity to the theater district. The decor was great.  Kind of an Art Deco vibe.  Helpful staff, from the doormen, the concierge and especially Keith at the security desk. Prices were reasonable and a nice breakfast was provided.  This hotel is a little gem right near Times Square and we will 100% stay there again next time we are in town.",5,Judith L,Oct-21
61,Thank you,"Thank you Rommel Gopez,  VIP Manager Manya Du Hoffman, Head of Sales, Truimph Hospitality and Kim Cofressi  Conference Services and rest of Exec Team for handling www.conzerge Entertainment clients!Post Pandemic, 2 years live concert .With our sincerest gratitude!We look forward to the next event December 2021 into Q1 2022Hotel Edison, one of new hotel partner for conzerge services#conzergeThank you",5,CONZERGE,Oct-21
62,"The old was better I miss the historic Edision, Edison lost its class!","I went in 2012 and loved it, Was fantastic went again after renovation and i was so disappointed. Bart Simpson on Lobby wall was over the top, Horrible I died , it was like when clubs went to Disco ,instead of live music. I died. The coffee shop bar was really historic. So many are going to mini splits for heating and cooling and they were FILITHY and had not been cleaned if ever, Sorry Edison.  if you saw the old, historic , you would be sad. Yes update but keep the class. You lost it!The way they store your luggage now for international al travel is horrible and not safe to say the least, First time, it was great, second time, very bad. Wont go again!",2,Terrie M,Nov-20
63,Home Away From Home,"We have lost count of how many times we have stayed at Hotel Edison. We do know it’s been more than 30 years and multiple times during those 30 years. We could not ask for a better experience anywhere. And this October was no exception. From the welcoming doormen, bellmen, and front desk staff to the great housekeeping and excellent security staff, it was an outstanding experience. All the staff greets you with a smile and a helping hand for anything, making you feel like family! The hotel is always pristine clean and well maintained; the rooms and bathrooms have been updated with a great look and feel and include luxury linens and bath amenities. Restaurants Bond 45 & Friedman’s, located in the hotel, are great, plus there is the famous Rum Bar! There is no better location in Manhattan that warmly welcomes you and puts you within steps of the Broadway theaters, subway stops and all the lights of Broadway! It is an exciting experience to stay at Hotel Edison. We highly, highly recommend it.",5,Cathy,Oct-21
64,Great visit at The Edison,"We have been staying at The Edison for 22 years. When we started the rooms were ok but the price was great. Some rooms, called Signature Rooms, have been nicely renovated with very comfortable bedding. Other, Classic Rooms, will be converted in the future.The staff is very friendly and helpful. New restaurants have taken the place of The Edison Cafe and Sofia’s. We well be going back in February.",5,Wayne,Oct-21
65,This one is all about location,"This hotel is located between 46th and 47th streets - about a 1/2 block from Times Square.  There are two restaurants located on either end of the hotel and both complied with COVID requirements and provided to-go breakfasts.  The hotel is right across from the Barrymore theater on the 47th side where Waitress is currently playing.  The location can not be beaten - walk across the street and get right to the theater and avoid any unexpected downpours by quickly darting across the street.The service, especially valet, was excellent.  The hotel and rooms were clean.The rooms, however, aren't a place to retreat and rejuvenate.  Like a lot of NYC hotels, the two queen beds room (small queens) was tiny.  There was barely enough room to put our luggage.  The bathroom had a toilet with a flusher like you would see in a public bathroom and a mirror with a ledge that you would see in a college dorm's bathroom.  The room was clean - it was just old, noisy, and had the bare bones for bathroom appointments.",3,JGTravelReviews,Oct-21
66,My NYC go-to hotel!,"My go-to hotel in NYC! In an incredible location a block from Times Square and within walking distance of all the Broadway theatres & incredible eateries. Nicely appointed, clean rooms, friendly staff, & complimentary breakfast. What’s not to love?",5,Melanie M,Oct-21
67,Great spot in Times Square,My experience at The Edison was really great. My room was very clean as was the entire Hotel. The staff is very helpful. Rommel Gopez was particularly helpful with restaurant recommendations and also with setting up the shuttle to the airport. My mom is coming next week and made a last minute reservation because I had such a great experience. Location is perfect for Broadway shows. Staff always wore masks and so did the guests. It was very reassuring. I’ll definitely be back!,5,Brian Whitted,Oct-21
