,reviews_title,reviews_text,ratings,author,stay_date
10,The worst hotel room I have ever stayed in ,"The only positive about the hotel was its location. Our room was a classic twin queen bed room 1202, it was possibly the worst hotel room I have ever stayed in. The bathroom was small, with a patchwork of tiles where repairs have been done with whatever appeared to be available and the joinery was severely damaged. The room felt dirty and the air conditioning was so loud you could barely hold a conversation when it was on. We also experienced the smoke alarm being set off by the steam iron (surely the sensor was faulty) and had to endure the sound of the alarm for 30 minutes before a member of staff came to turn it off, without even an apology. There is no facility to make a cup of tea or coffee in the room nor is there a fridge / mini bar. The common areas are very deceiving as they are well kept and glamorous but once you enter your room it is another story and the rooms are not what you see on the hotel website or booking sites. Given that we paid over $400 per night I was extremely disappointed with the room, but the location couldn’t be faulted.",1,darylroots,September 2019
11,Mr Taylor ,"Stayed at the Edison on w228 47th and Broadway from 20/9/19 to 25/9/19 inclusive.Lovely friendly staff and great service.The room we were allocated on arrival wasn’t great,but I asked to change rooms to a recently refurbished room and it was great.The manager changed rooms for us without any hesitation and refunded some of the local taxes.The hotel is undergoing renovation at the moment and the rooms are being refurbished.Our stay was fantastic and the staff cleaners security etc were great.Security is tight in the hotel and no one can enter without showing your room key,which is great as you feel safe at all times.The location couldn’t be better.A 5 minute walk and your in Hell’s Kitchen or a 25 minute walk to 34th street and the Empire State or Maceys store.Had a great time and would definitely return in the future and would recommend this hotel to anyone,especially if it’s your first time in Manhattan.All in all a wonderful stay made even better by the staff.One more thing the lobby is beautiful as the hotel was built in the early 1930s and shows of the Art Deco period beautifully.",5,snookygkt,September 2019
12,Great choice!,"First time to NYC. Loved it ! Found Edison Hotel through Booking.com. Was very pleased with the choice. Staff extremely friendly and welcoming.  Hotel is in a great location. Steps away from Times Square and all the theatres. Also close to various transit options. Many other sites within walking distance as well.  Rooms are cozy, ours was un-reno’d but had everything we needed.  Great value for the price.",5,Karyn R,September 2019
13,Hotel Edison New & Improved,"My wife & I spent Sept. 16th to 22nd in New York City, celebrating her birthday.  It was my 16th trip to New York City, her 11th.  It marked the 8th time we stayed at the Edison.  We plan our itinerary while in New York City based from this hotel which is perfectly located in Times Square which is convenient to get to any other area of the city easily.  Even before any renovations, we felt like we were 'home' when we booked in.  The atmosphere throughout the property is always friendly and comfortable.  The staff is very accommodating & happy to help.  From the front desk to the bell boys to security to upper management, we always experienced co-operation and 'Only to glad to help' attitude.   No wonder we feel at home.  A wonderful young lady helped us to secure our boarding passes for the flight home.  This erased a ton of stress by us not having to complete this task in a crowded, chaotic boarding area.  Since our last visit 2 and a half years ago, the hotel has opened two world-class restaurants on the premises,  Friedman's and Bond 45.  We enjoyed dining and hospitality in each several times.     We are now home and homesick for the Edison.",5,yankee72017,September 2019
14,Wonderful New York experience,"We were 6 ladies traveling together, stayed together in the family suite which was amazing. The hotel has an amazing location, wonderful staff, especially one of the doorman which always provided us with a transportation for 6 people. We recommend the hotel fully!",5,Elísa,September 2019
15,Fantastic location ,"Fantastic location, very close to Times Square. Beautiful art deco interior.  Very clean with comfortable beds. The only thing to let it down were the very tired bathrooms,  definitely in need of renovation. Saying that, there was plenty of hot water and the shower was OK.",5,sarnclark,September 2019
16,Celebrate my 60th!,"New York City should be visited by everyone at least once.  So much to see, to do, to eat!  The Hotel Edison is CLOSE to everything; one block from restaurant row, Broadway, Times Square.  Also, the staff is so polite, helpful and I felt very safe which is important while staying in NYC!",5,Jules H,September 2019
17,New york Experience,Wonderfull experience with fantastic staff. Very clean and a great loaction for touring all the hot spots of New York. Beautiful food in the restaurant. Complimentary bottle of water in the room each day.,5,Sandra N,September 2019
18,Wonderful trip!,We had a fabulous stay at The Edison. Everyone there is so friendly and helpful. Our room was comfortable and plenty large enough for the 4 adults in our party.  We have stayed at The Edison many times before and have always been satisfied.  We will definitely be back.,5,Baseball fan,September 2019
19,Very outdated and grotty rooms.,"We booked this hotel as a package holiday back in May this year based on the pictures on the website and how lovely it looked. When the 21st Sept after a long wait at JFK. We were given our double room on the 11th floor. It was a very small, smelly and outdated room with a view of a brick wall, nothing like we thought we had booked.We complained and was offered another double room on the 10th floor. Although this room was a little bigger, it was dirty with paint peeling off the walls and ceiling, the closet was mouldy, so bad that we didn't hang our clothes in it and lived out of our suitcase. The bathroom was fit for purpose but the bath was so old and worn it looked like ground in dirt.We had no coffee machine in our room and no fridge as we had been sold. Again we complained and was offered either an upgrade to a superior room with 2 queen beds at $70 per night or a refund on the daily tax, a coffee machine and apologies from the staffWe Were advised that the double rooms are larger than most hotels in NYC. We've been in 2 other hotels in NYC in the past and the double rooms were twice the size and cheaper! Overall we came home very disappointed with the rooms and feel like we had been cheated on what we had booked and what we got.",2,Rebecca W,September 2019
20,Fantastic location,"2nd time in New York and wanted to stay in the time square area. This hotel is right on time square which is perfect for seeing all of Manhattan. It's a very busy hotel so took a bit of time to check in but not that bad about 20 mins. The staff were nice and friendly. The room was a signature room which was spacious and well equipped, bathroom was very small but no issues. There are facilities in the hotel 2x places to eat and a great bar which we really enjoyed. Especially with the 2 for one drinks vouchers!!!. The only complaint I have and it's not specifically to this hotel is the resort tax. I had fully paid for the hotel to then we told I have to pay another $25 per day. Just be aware. Overall great hotel and experience and would stay again.",5,Jamie L,September 2019
21,Great location but unsecured building. In this hotel they steal.,"In this hotel they steal, I don't know who, the management or houskeepers. We were in Edison hotel for a long weekend, we forgot to take the bracelet and neclace from the bathroom. Reported that immediately, know what and where we left exactly, I described it in more than 14 emails to the hotel management, for over a month I try to get any information and recover my things, nobody wants help or security or manager, the only answer from them is not there, or we checked the cameras ( somewhere in the bathroom ??). no one is responsible for the items left behind. I have to wait 2 weeks for an email reply from the manager. Suggestion, double check your baggage, if you leave something, you will never get it back again !!It was supposed to be a great weekend for my daughter before she went to college, the theft and lies from the management ruined everything. Waiting for a response from the manager again how long? who knows?",1,Katarzyna N,August 2019
22,Poor Service and noisy air conditioning ,"I’m in my room and physical old style air conditioner is extremely noisy. Spoke with the reception, they were sending someone to check it up. Which I don’t believe will change anything. For reminder have been trying to call without any response. Imagine  the reception and operator of hotel is not picking up the house phone. I wish I could post the video with noise. Regards",1,Tariq Malik,September 2019
23,Hotel Edison,"Located steps from Times Square, this hotel is the best choice.  Besides its location, the staff is very attentive.  One cannot not walk too far without being acknowledged with at least a simple 'hello' if not askong if you need assistance from a staff person.",5,Passenger563379,September 2019
24,Just back,"Just back from 5 night stay.Pros: Literally seconds walk from times sq and walking distance to alot of main attractions. Security 24/7 Housekeeping were lovely, even folded my nightdress every morning Staff happy to help when asked Qs Cons: Room was tiny , not alot of space for clothes. Air con didnt workVery noisy with construction going onRooms very dated and definitely in need of a serious upgrade. All in all we enjoyed our stay,its grand if all you need is a bed and shower. Didnt eat in so cant comment on food.",3,LauraRambo,September 2019
25,Staff and location are both amazing,"My family has stayed at the Edison many times over the years.  When booking our most recent trip I made a scheduling error and booked incorrect dates via a third party site.  Upon immediately realizing my error, and being told by third party that my hotel date was not able to be changed to match the flight I’d also booked with them, I called the Edison directly and was met with impeccable customer service.  Eric at the front desk was attentive, understanding and took immediate action to help me adjust my accommodations.  Customer service is becoming a lost art, but I’ve never found this to be true of the staff at the Hotel Edison.  Thanks ya’ll for making sure our family enjoys, yet another, memorable stay in the heart of NYC!",5,trishm172,August 2019
26,"Really poor accommodation for the price we paid, so disappointed.","First let me explain that we have stayed in hotels all over the world and this is the first time I have felt the need to take to this forum to express our views. We booked the Hotel Edison for my son's 21st birthday on personal recommendation by our local travel agent. Based on the photographs we saw on Triumph Hotels website  of the classic rooms, we paid $1933 to the Edison for 8 nights for 3 adults sharing room only, + $200 resort fees. Our first room 1537 was tiny, grubby and damp, the bathroom was horrendous, we asked at reception the next morning to move. Receptionist was very matter of fact, no apology. We moved to 706 to be honest it wasn't much better. The size of the bathroom, worn enamel, rust etc I wish I had brought bleach or detol from home with me. 2 nights later we heard water pouring through the bedroom ceiling, this obviously wasn't the first time this had happened by the blown plaster and peeling wallpaper. The water was pouring into the aircon unit which we couldn't use. We placed towels on the carpet which was soaking (probably where the damp smell was coming from) and over the unit. I reported this next morning to reception, again no interest shown. Someone must've been and looked at it as there was a big footprint on towel but it wasn't resolved, nor were we offered another room as they were ""full"". I can cope with shabby, characterful, but quite honestly the damp dingy rooms we saw were nothing like the rooms advertised. I approached our travel agent on our return. She was emailed and phoned the hotel, not one person has responded, and we have been offered no compensation.  I read on social media and on this forum that the rooms are wonderful and the staff go out of their way to help, we certainly didn't experience this. Where we just UNLUCKY? Gutted is an understatement as this was our first time in NYC and supposed to be a special trip, we're just glad we spent as little time as possible in the Hotel.",2,Donna W,June 2019
27,ate at Friedman's,"stopped here because we were looking for something near the theater, and they advertised gluten free foodthe restaurant is part of the hotel & not partsat at the counter, because there was a wait for tables & boothswe had eggs-one w chicken sausage & the other w slab baconboth came w potato hash ( which was unseasoned & bland)but everything else was fresh, well prepared & tasty",4,leo t,September 2019
28,Leisure,Perfect location Perfect services Perfect employees Perfect room All was very good Times square is just at 50m Metro also too.  I fully recommend. I’ll be back for sure Thank you again to the Hotel Edison,5,Salena Tekle,September 2019
29,New York New York,"We came here on a family holiday and had 2 rooms, one queen and one family room. We stayed here for 3 nights and couldn’t really fault the hotel unless we wanted to be very picky.The location is great, you can walk to Times Square in less than 1 minute. You are greeted at the door by a very polite door man. Hotel is very secure, must show key card to enter the lifts/stairs, security everywhere. (Feels very safe).The rooms are a little dated, but they are perfect for what you need them for, as in New York you are too busy to be spending all day in the rooms. They are clean, daily housekeeping and large bathroom. We had a rather dull view however my parents had a great view of the street.The hotel has its own 2 or 3 restaurants, which we only used once during our stay for breakfast which was great. The staff couldn’t have done more for you, however expensive. If you are looking for a cheaper alternative there is a Starbucks directly over the road. We would like to pay a massive thanks to the concierge. On our flight out one of our cases was lost. We passed all info onto the concierge who sorted this for us, and then brought the case to our room upon arrival.For the price you cannot fault this hotel.",5,Lucy Blacker,November 2018
30,"Very Disappointed,  do not book to stay here","How very very disappointed,  player alot of money to stay and have been planning this trip for months.I previously emailed the hotel to request a nice room for my parents and I as we was celebrating birthday's and anniversary. When my husband and I walked into the room i was shocked, the wall paperwork was ripped, carpet fraying,  room dark and dingy.The enamble coming of the bath, but it looked like they had painted the bath with a coating to stop it from getting worked.Paint flaking of the ceils and inside of the wardrobe. Only 3 pillows on the bed between 2 people.  There was a Loud noise from outside which I could only explain came from extractors fans,  there must have lots of these which continued day and night. We was on the 11th floor, the noise kept me aware all night. The view was terrible,  looking at brick building.I went to reception and complained, they said we could change to another room the following day which we agreed to do.I packed the suitcases again and the following day we move. OMG it was just as bad.Really bad decoration, even less cupboard space, there was no chest of draws. The noise outside was just as bad. In the end i had to buy some ear Plugs to use during the night so i could get some sleep. I kindly asked one of the house maids for an extra pillow which they kindly gave me.My parents who was also staying in the hotel complained about the state of their room, my parents was shown 5 differant rooms which they said was all the same so therefore wasn't worth moving as my mom is disabled and the packing of the suitcases would have been too much for them.The only postive thing was the maids was very good.The whole hotel needs either to be rebuilt or definitely needs refrurbishing.DO NOT STAY HERE, SPEND YOUR MONEY ELSE WHERE.My sister in law stayed at the Crown Plaza at the same time and her room was lovely. The photographs do not give a true reflection,  the room was a lot worked.The hotel charge a report fee for each night you stay, i think they should disregard this fee and they should be paying the customers for staying in the first place.I gave a 1 star but should be a negative star rating as it doesn""t deserve the 1 star.Honestly do not WASTE YOUR HARD EARNED MONEY. M",1,sandrakay83,September 2019
31,Disappointing Like a dumpy dorm room,"My diSappointment is with my room  I expected small—the standard for space in Times Square is lower than average   But I didn’t expect the mattress to sag to the floor when I sat on it, or for the room to be lit only by 3 light bulbs one of which is broken. It’s dusty too—the write-in kind. Sigh. The location and public spaces are great. But I don’t want to sleep in my nostalgia literally. Just be reminded of it  Wish I was at the W next door",2,Sandra M,September 2019
32,"Friendly, helpful, perfect!","I've stayed in the Hotel Edison twice now with a third stay booked for Thanksgiving 2019. The staff are so friendly and personable, especially considering how busy the hotel can be during check-in times! During a stay in 2017 we realised on arriving our first evening that our travel agent had requested the wrong room type. As it was late there wasn't much that could be done but first thing the following morning we were moved to the right room. The hotel staff were so accomodating even though it was no fault of their own, even keeping us on the same floor as our friends room. I've booked directly since and have had no issues. Both times we made requests by email, when booking indirectly and directly, and both times our requests were granted. I'm sure it will be the same with any future stays.The hotel is in the middle of everything with Times Square practically on your doorstep. There are so many attractions within walking distance and subway stations close by when you want to venture further.The restaurants and bars in and around the hotel are brilliant and staff are so helpful with any tips or suggestions, if needed.With such a beautiful art-deco interior, amazing staff (from the doorman, concierge/front desk to bell boys and maid service) I honestly can't find a fault. We are so looking forward to our next trip to Hotel Edison, with many more to follow!",5,Sinéad Kavanagh,October 2018
33,Typical city hotel,Nothing special the stay was basic. Old room with no view very dated bathroom and the safe broke! Not a great hotel but the location was good just around corner from times square. Taxi was easy to get outside and the bar was good.,2,missrachelgreen,September 2019
34,Really bad start!,"Just checked in tonight, having booked well in advance. Was really careful about booking Kingsize rooms for the three nights. When getting to the rooms, not at the reception, we realised that our pre-paid kingsize room had been changed to a queensize because “there are no kingsize rooms available”! What a lousy service! They obviously knew we were coming and the whole point of booking in advance and not just show up at the hotel and asking for a room is that you actually can decide where to stay and what type of room you want to pay for!They say that the rooms we have paid for should be available tomorrow. I’ll see it before I believe it!",1,Jelgren,September 2019
35,Women traveling to NYC alone - The HotelEdison is the place for you!,I often travel to NYC on business alone. I have stayed at some of the best know hotels and choose The Hotel Edison because I am treated like a person not a number.The service is wonderful. From the reception staff and security to the doormen who so graciously help with travel tips and taxis.Freidmans and the Rum House are adjacent and create a comfortable enviorment for a person traveling alone.I always reserve a room or suite with a terrace. They are the perfect size and offer a great view.Dont miss the beautiful night lounge at Bond 45. It was designed by the Hamilton set designer and is a secret sancutary to the theatre crowd - a must see.,5,Karen C,September 2019
36,Poor Dated Rooms and Rude Staff,"We stayed in New York for a week and booked this hotel 7 months ago, we had the price confirmed as $1335.16 plus taxes $217.93 total = £1553.09 to be collected by the hotel. Tex on the front desk tried to add an additional $200 dollars (I know this is this extortion and they call it a resort fee) I refused to pay as on our invoice it clearly stated all taxes and fees included. I explained that I was not going to argue with him now as we had just started our holiday but we would have a conversation when we check out. The following week when we checked out he still tried to apply this fee and I asked to speak to the manager who eventually removed this fee. On the subject of resort fees what is that all about? Wifi, Gym, Newspaper etc is normally part of the hotel service!! He told us that he had given us a nice newly refurbished room, NOT! The room was tiny, carpets smelled and air conditioning unit in the room was like a lawn mower! So loud. The cleaners were very good and our bed was nice and fresh with ample toiletries  in the TINY bathroom. The tiles on the wall were from 1931, I am sure. We could not lock the bathroom door as it had been painted so many times you could not turn the lock.",1,ColinJames-UK,September 2019
37,Simon and Michelle Thomas South Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢,We stayed in the hotel Edison on Time Square in September 2019  the room was very clean and spacious cleaning staff were helpful the food in the restaurant was good and the bar downstairs had very good entertainment every night will definitely stay there again,5,Simon T,September 2019
38,"Poor quality hotel and disappointed , building & construction works ongoing.","Very disappointed with the hotel and room, we booked a signature room and after checking in had to change 3 times, the rooms were small, suffered from loud and noisy air con units, smell on the hall way of someone smoking and also smoking dope/weed/drugs. Also we found out they were renovating and when we booked not advised, woke up to noise and a man outside our window this morning (picture attached) we are on 22nd floor, sounded like they are coming through the roof. The lady on reception never advised of construction works when checking in. This really is unsatisfactory and it should be Clear then people have a choice to book or not. The hotel is very tired and loud. Not for anyone who wants a quite hotel. Anyone who wants Wifi, it's so slow, and again (picture attached) they advise they are upgrading WiFI , the lady never told us this either at check in. There are other friends staying at this hotel and all in all the group has spent over: $10,000, not a word of thanks, help to upgrade to sort rooms or any refund as a good will gesture. All they kept doing was offering other rooms were they were all as bad as the previous allocation. I eork in the industry and will not recommend this hotel.On a good point clean bed, sheets, shower etc, and maids cleaning room pleasant and nice.",2,Vivrow,September 2019
39,NYC - BIG BITE - GREAT STAY!,"My son and I took the trip and trying to find a hotel room with 2 beds wasn't as easy as I imagined.  I searched for locaiton (which I knew nothing of NYC) and amentiies as some of our top searches. Check in - easy. Elevators fast. Cleanliness - wonderful. Noise in room - minimal. Beds comfortable. Bathroom - clean - Water pressure in the shower and heat - OMG fantastic - especially after a long day!  AC never moved the setting and had the window cracked open!  Edison Hour - was a great time to meet people, plenty of food and wine!   Walking Tour - we did the one from the Belleclaire since the timing was right - and it was exceptional.  They held our luggage for $1 a piece when we checked out at 8 am until we could pick it up.  Very close to times Square - noise was minimal - we were there from Sunday-Wednesday though.  Close to Broadway plays, subway a little further - 42nd street was closed for a few of those days.  Walked to most everything!  GREAT!!!",5,LodiChris,September 2019
40,Was so bad it was hilarious,"We arrived after a long flight and hours getting through security to finally arrive at what looked a bit disappointing. The check in was very smooth and staff friendly considering the lobby was a bit chaotic. We were a party of 7 here to celebrate my sisters 50th Birthday. We got our keys and went to our rooms all on different floors. I walked into our room 1543 which was like stepping back in time. Paper had been replaced on the back of the door and didn't match the rest of the wall. The furniture was so tired and dated with chunks of wood missing. The carpet was very worn and lifting, the bathroom had tiles that had been replaced again that didn't match there was some sort of heater / cooler that looked like something from a museum. It was THE Worst hotel I have ever stayed in. We had 3 rooms and each of us had the same ecoetience. Apparently that's because our travel agent only booked classic rooms, which hadn't been renovated. This seems to be something that the hotel does. Put you in a bad room so that you will pay for an upgrade. My sister was charged an extra $200 before tax for her upgrade from room 1204 to room 1622 which was nicer, however the workmanship even on the upgrade was of very poor quality. We all changed rooms to what can only be described as a slight improvement. Thank goodness they have the location as they certainly don't have anything else!!!! Staff were very good in particular Christina who was there on 12/09 when we arrived, and arranged all the changes. However, since I have been home I have noticed several pending transactions on my credit card bill from this hotel, attempting to take £400 plus from my card. I have emailed twice and still haven't had a response.Sadly I would not recommend this hotel, its very dated and ever time we walked past reception there seemed to be someone else complaining about the state of their room. Very sad as its a great location with some great staff, but the hotel needs some serious investment with much better quality tradesmen to bring the rooms up to habitable standard as I wouldn't put my dog in the the first room we were given.",1,Michelle W,September 2019
41,Perfect location!,We stayed at Hotel Edison for 3 nights. The location is absolutely perfect. Times Square is just steps away and the hotel is close to subway stations that can take you to all the attractions and other parts of the city. Our hotel room was a bit small and dated but nice and clean. The staff is friendly and helpfull. There was much less city noise than I expected. There is a 'room key security check' in front of the elevator which makes you feel safe and secure.,4,Raoul Vincent,September 2019
42,Intoxicated by the lights of Times Square.,"Great hotel and location, polite staff especially lady Loredana.Good starting point to go around Manhattan on foot. Lovers of Broadway theatres are on the right place as a starting point. Kindly recommendation for the hotel.",5,Jack_Sparrow007,September 2019
43,"Overrated, overpriced","This hotel is completely overpriced and overrated. Staff are rude. After paying for my stay in full before arrival, I then had to pay an extra $200 for “incidentals” and city tax. When I informed Juan at reception that I had already paid the city tax, I got treated with such a lack of respect that I left the case and wasn’t bothered arguing. He didn’t inform me how much he was even taking out of my account when he took my card. I had to check my online banking to find out that it’s $100 for incidentals. He then went on to have an argument with another member of staff who approached him at the desk mid check in. It was embarrassing and uncomfortable for us. The rooms are tiny and nothing at all what they look like in the photos. We’re constantly tripping over our suitcases. The windows are not sound proof so you can hear every noise on the street. The hotel are doing construction at the moment and this is right outside our bedroom window so I have to keep the blinds closed at all times as I have seen workers looking into our room. We’re woken at 7am with the noise of this every morning. The cleanliness of our room is debatable with stains on the sheets, marks on the walls and hairs in the bathtub. Cleaning staff come in every day but I’m not quite sure what they do besides rake rubbish out and throw the covers back up on the bed. Be prepared to queue for long periods of time for check in and check out. They don’t do anything to try speed the process up for guests. The only good thing about this hotel is it’s convenient location in Times Square. Other than that it is a complete rip off and deeply upsetting when you spend so much money to stay here and then be treated with such disrespect. I wouldn’t recommend this hotel to anyone.",1,Anonymous,August 2019
44,Good room after getting what we paid for! ,"First all, let’s get the negative out the way. On arrival our room wasn’t ready, and instead of telling us, we were palmed off with a smaller room we hadn’t booked. It was dreadful with wall paper coming off the wall and a crack in the sink. Swiftly down to reception and faith was quickly restored and a staff member apologised for his colleagues mistake. New room sorted! If they had just told us our room wasn’t ready from the off, we’d of been happy to wait.Now onto the positives - the new room was good and one of the refurbed rooms on the  top 22nd floor. Fantastic views and a good standard finish to the room. Only gripes were the lack of storage space for clothes; we lived out of cases for 5 days and the aircon was very loud. A nice touch was the free bottled waters in the room everyday and decent Wi-fi!Location, location, location - couldn’t ask for more in the heart of time square. So much in walking distance e.g. Central Park, Top of the Rock, Empire State, 5th Avenue and of course Broadway! Also only a 10 to 15 minute Subway to Downtown for WTC, Wall street and the ferry for the Statue of Liberty. The staff were all very friendly and security by the lifts were good for checking only residences were going in the lifts.   On the whole a good hotel if you get one of the refurbed rooms.",4,JMSut1,September 2019
45,Valentine's,"We stayed at the Edison hotel for Valentine's, it was a very lovely hotel and our room was huge. I wouldn't hesitate to stay again, we also found security was very thorough which made us feel very secure.",4,Laurajc99,February 2019
46,Lovely hotel fantastic staff,"We stayed at the Hotel Edison from 24th/29th August 2019It was a birthday gift for my 50th birthday. We booked through hays travel so all taxes were included we requested a high room as we were told these had been newly redecorated. On arrival we were asked if we would like to upgrade our rooms but u fortunately we had 2 rooms booked so we could not afford to do this.The lovely lady on reception, Justyna, was so lovely helping us with check in answering our 100 questions with no hesitation, so as a token of thank you I gave her a box of chocolates and as our rooms would not be ready for a while we took a seat in the reception area. Justyna Said we would be upgraded, as our rooms would not be ready for a while, I was so grateful as we were so tired.Justyna and all the reception staff were so lovely. The hotel great with lovely rooms our room had a safe, coffee facilities, water hairdryer and lovely comfortable beds we only got one dressing robe which was a pity as my husband wanted one too. The hotel was in a great location just off Times Square behind the red steps. I would definitely recommend this hotel to anyone looking to visit New York",5,Gillian L,August 2019
47,Chairman,"A great hotel and a grate atmosphere from the staff. And Hemlatta Singh, the maid, made me feel so welcome with her smile and comments through out my stay every day. It was so relaxing after a long day or refreshing into the day meeting her in the corridor.",5,vallisport,September 2019
